[2025-05-22T06:05:26.961638+00:00] 🔄 Checking active executions...
[2025-05-22T06:05:40.040925+00:00] 🔍 Trade 1529: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13355 | PL: -0.90000
[2025-05-22T06:05:40.137431+00:00] 🔍 Trade 1527: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13355 | PL: -0.90000
[2025-05-22T06:05:40.239372+00:00] 🔍 Trade 1525: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.1335 | PL: -0.85000
[2025-05-22T06:05:40.355765+00:00] 🔍 Trade 1523: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13349 | PL: -0.84000
[2025-05-22T06:05:40.459459+00:00] 🔍 Trade 1521: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13349 | PL: -0.84000
[2025-05-22T06:05:40.546384+00:00] 🔍 Trade 1519: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:40.634012+00:00] 🔍 Trade 1517: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:40.715383+00:00] 🔍 Trade 1515: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:40.811868+00:00] 🔍 Trade 1513: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13349 | PL: -0.84000
[2025-05-22T06:05:40.896296+00:00] 🔍 Trade 1511: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13349 | PL: -0.84000
[2025-05-22T06:05:40.995032+00:00] 🔍 Trade 1509: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:41.087664+00:00] 🔍 Trade 1507: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13349 | PL: -0.84000
[2025-05-22T06:05:41.174213+00:00] 🔍 Trade 1505: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13349 | PL: -0.84000
[2025-05-22T06:05:41.261385+00:00] 🔍 Trade 1503: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:41.346978+00:00] 🔍 Trade 1501: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:41.442192+00:00] 🔍 Trade 1499: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13349 | PL: -0.84000
[2025-05-22T06:05:41.525137+00:00] 🔍 Trade 1497: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13349 | PL: -0.84000
[2025-05-22T06:05:41.617644+00:00] 🔍 Trade 1495: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:41.707549+00:00] 🔍 Trade 1493: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:41.802058+00:00] 🔍 Trade 1491: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:41.884141+00:00] 🔍 Trade 1489: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:41.980524+00:00] 🔍 Trade 1487: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:42.072366+00:00] 🔍 Trade 1485: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:42.157777+00:00] 🔍 Trade 1483: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:42.247945+00:00] 🔍 Trade 1481: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13348 | PL: -0.83000
[2025-05-22T06:05:42.333152+00:00] 🔍 Trade 1479: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13348 | PL: -0.84000
[2025-05-22T06:05:42.417003+00:00] 🔍 Trade 1477: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13348 | PL: -0.84000
[2025-05-22T06:05:42.511281+00:00] 🔍 Trade 1475: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13348 | PL: -0.84000
[2025-05-22T06:05:42.602351+00:00] 🔍 Trade 1473: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13348 | PL: -0.84000
[2025-05-22T06:05:42.684644+00:00] 🔍 Trade 1471: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13349 | PL: -0.85000
[2025-05-22T06:05:42.769057+00:00] 🔍 Trade 1469: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13349 | PL: -0.85000
[2025-05-22T06:05:42.871804+00:00] 🔍 Trade 1467: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13352 | PL: -0.88000
[2025-05-22T06:05:42.955534+00:00] 🔍 Trade 1465: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13352 | PL: -0.88000
[2025-05-22T06:05:43.046305+00:00] 🔍 Trade 1463: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13352 | PL: -0.88000
[2025-05-22T06:05:43.130149+00:00] 🔍 Trade 1461: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13352 | PL: -0.88000
[2025-05-22T06:05:43.224761+00:00] 🔍 Trade 1459: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13352 | PL: -0.88000
[2025-05-22T06:05:43.321476+00:00] 🔍 Trade 1457: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13352 | PL: -0.88000
[2025-05-22T06:05:43.416915+00:00] 🔍 Trade 1455: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13353 | PL: -0.89000
[2025-05-22T06:05:43.506733+00:00] 🔍 Trade 1453: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13353 | PL: -0.89000
[2025-05-22T06:05:43.600513+00:00] 🔍 Trade 1451: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13353 | PL: -0.89000
[2025-05-22T06:05:43.689699+00:00] 🔍 Trade 1449: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13353 | PL: -0.89000
